,0
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,0
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,1
208,0
209,0
210,0
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,1
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,1
430,1
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,1
453,0
454,0
455,0
456,1
457,1
458,1
459,1
460,0
461,0
462,0
463,1
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,0
483,0
484,0
485,0
486,1
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,1
513,1
514,1
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,1
528,1
529,1
530,0
531,0
532,0
