,0
0,10111110110110010011001001110001
1,10111110110110010011001001110001
2,10111110110110010011001001110001
3,10111110110110010011001001110001
4,10111110110110010011001001110001
5,10111110110110010011001001110001
6,10111110110110010011001001110001
7,10111110110110010011001001110001
8,10111110110110010011001001110001
9,10111110110110010011001001110001
10,10111110110110010011001001110001
11,10111110110110010011001001110001
12,10111110110110010011001001110001
13,10111110110110010011001001110001
14,10111110110110010011001001110001
15,10111110110110010011001001110001
16,10111110110110010011001001110001
17,10111110110110010011001001110001
18,10111110110110010011001001110001
19,10111110110110010011001001110001
20,10111110110110010011001001110001
21,10111110110110010011001001110001
22,10111110110110010011001001110001
23,10111110110110010011001001110001
24,10111110110110010011001001110001
25,10111110110110010011001001110001
26,10111110110110010011001001110001
27,10111110110110010011001001110001
28,10111110110110010011001001110001
29,10111110110110010011001001110001
30,10111110110110010011001001110001
31,10111110110110010011001001110001
32,10111110110110010011001001110001
33,10111110110110010011001001110001
34,10111110110110010011001001110001
35,10111110110110010011001001110001
36,10111110110110010011001001110001
37,10111110110110010011001001110001
38,10111110110110010011001001110001
39,10111110110110010011001001110001
40,10111110110110010011001001110001
41,10111110110110010011001001110001
42,10111110110110010011001001110001
43,10111110110110010011001001110001
44,10111110110110010011001001110001
45,10111110110110010011001001110001
46,10111110110110010011001001110001
47,10111110110110010011001001110001
48,10111110110110010011001001110001
49,10111110110110010011001001110001
50,10111110110110010011001001110001
51,10111110110110010011001001110001
52,10111110110110010011001001110001
53,10111110110110010011001001110001
54,10111110110110010011001001110001
55,10111110110110010011001001110001
56,10111110110110010011001001110001
57,10111110110110010011001001110001
58,10111110110110010011001001110001
59,10111110110110010011001001110001
60,10111110110110010011001001110001
61,10111110110110010011001001110001
62,10111110110110010011001001110001
63,10111110110110010011001001110001
64,10111110110110010011001001110001
65,10111110110110010011001001110001
66,10111110110110010011001001110001
67,10111110110110010011001001110001
68,10111110110110010011001001110001
69,10111110110110010011001001110001
70,10111110110110010011001001110001
71,10111110110110010011001001110001
72,10111110110110010011001001110001
73,10111110110110010011001001110001
74,10111110110110010011001001110001
75,10111110110110010011001001110001
76,10111110110110010011001001110001
77,10111110110110010011001001110001
78,10111110110110010011001001110001
79,10111110110110010011001001110001
80,10111110110110010011001001110001
81,10111110110110010011001001110001
82,10111110110110010011001001110001
83,10111110110110010011001001110001
84,10111110110110010011001001110001
85,10111110110110010011001001110001
86,10111110110110010011001001110001
87,10111110110110010011001001110001
88,10111110110110010011001001110001
89,10111110110110010011001001110001
90,10111110110110010011001001110001
91,10111110001110101100000011101000
92,01000000001000000011010111000001
93,01000000000001010101001111110100
94,10111101111100110010101110000100
95,10111110110110010011001001110001
96,10111110110110010011001001110001
97,10111110110110010011001001110001
98,10111110110110010011001001110001
99,10111110110110010011001001110001
100,10111110110110010011001001110001
101,10111110110110010011001001110001
102,10111110110110010011001001110001
103,10111110110110010011001001110001
104,10111110110110010011001001110001
105,10111110110110010011001001110001
106,10111110110110010011001001110001
107,10111110110110010011001001110001
108,10111110110110010011001001110001
109,10111110110110010011001001110001
110,10111110110110010011001001110001
111,10111110110110010011001001110001
112,10111110110110010011001001110001
113,10111110110110010011001001110001
114,10111110110110010011001001110001
115,10111110110110010011001001110001
116,10111110110110010011001001110001
117,10111110110110010011001001110001
118,10111110110110010011001001110001
119,10111101011000011010101001101111
120,01000000001100111100001010110011
121,01000000001100111100001010110011
122,00111111110111010000100110110100
123,10111110110110010011001001110001
124,10111110110110010011001001110001
125,10111110110110010011001001110001
126,10111110110110010011001001110001
127,10111110110110010011001001110001
128,10111110110110010011001001110001
129,10111110110110010011001001110001
130,10111110110110010011001001110001
131,10111110110110010011001001110001
132,10111110110110010011001001110001
133,10111110110110010011001001110001
134,10111110110110010011001001110001
135,10111110110110010011001001110001
136,10111110110110010011001001110001
137,10111110110110010011001001110001
138,10111110110110010011001001110001
139,10111110110110010011001001110001
140,10111110110110010011001001110001
141,10111110110110010011001001110001
142,10111110110110010011001001110001
143,10111110110110010011001001110001
144,10111110110110010011001001110001
145,10111110110110010011001001110001
146,10111110110110010011001001110001
147,00111110110001111110000110111010
148,01000000001100111100001010110011
149,01000000001100111100001010110011
150,01000000000001001000001101101010
151,10111110110110010011001001110001
152,10111110110110010011001001110001
153,10111110110110010011001001110001
154,10111110110110010011001001110001
155,10111110110110010011001001110001
156,10111110110110010011001001110001
157,10111110110110010011001001110001
158,10111110110110010011001001110001
159,10111110110110010011001001110001
160,10111110110110010011001001110001
161,10111110110110010011001001110001
162,10111110110110010011001001110001
163,10111110110110010011001001110001
164,10111110110110010011001001110001
165,10111110110110010011001001110001
166,10111110110110010011001001110001
167,10111110110110010011001001110001
168,10111110110110010011001001110001
169,10111110110110010011001001110001
170,10111110110110010011001001110001
171,10111110110110010011001001110001
172,10111110110110010011001001110001
173,10111110110110010011001001110001
174,10111110110110010011001001110001
175,00111111111101010111100111100011
176,01000000001100111100001010110011
177,01000000001100111100001010110011
178,00111111100000011100110101001010
179,10111110110110010011001001110001
180,10111110110110010011001001110001
181,10111110110110010011001001110001
182,10111110110110010011001001110001
183,10111110110110010011001001110001
184,10111110110110010011001001110001
185,10111110110110010011001001110001
186,10111110110110010011001001110001
187,10111110110110010011001001110001
188,10111110110110010011001001110001
189,10111110110110010011001001110001
190,10111110110110010011001001110001
191,10111110110110010011001001110001
192,10111110110110010011001001110001
193,10111110110110010011001001110001
194,10111110110110010011001001110001
195,10111110110110010011001001110001
196,10111110110110010011001001110001
197,10111110110110010011001001110001
198,10111110110110010011001001110001
199,10111110110110010011001001110001
200,10111110110110010011001001110001
201,10111110110110010011001001110001
202,10111110110110010011001001110001
203,00111111101110101101001100001101
204,01000000001100111100001010110011
205,01000000001100111100001010110011
206,00111111100011010011010011010111
207,10111110110110010011001001110001
208,10111110110110010011001001110001
209,10111110110110010011001001110001
210,10111110110110010011001001110001
211,10111110110110010011001001110001
212,10111110110110010011001001110001
213,10111110110110010011001001110001
214,10111110110110010011001001110001
215,10111110110110010011001001110001
216,10111110110110010011001001110001
217,10111110110110010011001001110001
218,10111110110110010011001001110001
219,10111110110110010011001001110001
220,10111110110110010011001001110001
221,10111110110110010011001001110001
222,10111110110110010011001001110001
223,10111110110110010011001001110001
224,10111110110110010011001001110001
225,10111110110110010011001001110001
226,10111110110110010011001001110001
227,10111110110110010011001001110001
228,10111110110110010011001001110001
229,10111110110110010011001001110001
230,10111110110110010011001001110001
231,01000000000110011011000101110000
232,01000000001100111100001010110011
233,01000000001100111100001010110011
234,00111111010111111100001011011000
235,10111110110110010011001001110001
236,10111110110110010011001001110001
237,10111110110110010011001001110001
238,10111110110110010011001001110001
239,10111110110110010011001001110001
240,10111110110110010011001001110001
241,10111110110110010011001001110001
242,00111110001111110011100101011110
243,00111111100110100011110101111010
244,00111111111100111101100011001111
245,00111111010011000011010111100111
246,10111110001011011011100001000111
247,10111110110110010011001001110001
248,10111110110110010011001001110001
249,10111110110110010011001001110001
250,10111110110110010011001001110001
251,10111110110110010011001001110001
252,10111110110110010011001001110001
253,10111110110110010011001001110001
254,10111110110110010011001001110001
255,10111110110110010011001001110001
256,10111110110110010011001001110001
257,10111110110110010011001001110001
258,10111110110110010011001001110001
259,01000000000110011011000101110000
260,01000000001100111100001010110011
261,01000000001010011111110000111010
262,10111101001011011000011111101010
263,10111110110110010011001001110001
264,10111110110110010011001001110001
265,10111110110110010011001001110001
266,10111110110110010011001001110001
267,10111110110110010011001001110001
268,00111110010011000100000111111111
269,01000000000100111111110110101010
270,01000000001100010101000100010101
271,01000000001100111100001010110011
272,01000000001100111100001010110011
273,01000000001101001001001100111101
274,01000000000011001010100011001111
275,10111110110110010011001001110001
276,10111110110110010011001001110001
277,10111110110110010011001001110001
278,10111110110110010011001001110001
279,10111110110110010011001001110001
280,10111110110110010011001001110001
281,10111110110110010011001001110001
282,10111110110110010011001001110001
283,10111110110110010011001001110001
284,10111110110110010011001001110001
285,10111110110110010011001001110001
286,00111110100000000011001001000010
287,01000000001011111011000000000000
288,01000000001100111100001010110011
289,00111111110000101111100001110010
290,10111110110110010011001001110001
291,10111110110110010011001001110001
292,10111110110110010011001001110001
293,10111110110110010011001001110001
294,10111110110110010011001001110001
295,10111101001011011000011111101010
296,01000000000111110110010100110111
297,01000000001100111100001010110011
298,01000000001100111100001010110011
299,01000000001011010011111001100010
300,01000000000001101111010100001001
301,01000000001011000110110111011000
302,01000000001100111100001010110011
303,00111111101111100001010100110101
304,10111110100001000111101001011001
305,10111110110110010011001001110001
306,10111110110110010011001001110001
307,10111110110110010011001001110001
308,10111110110110010011001001110001
