,0
0,01000000110010010111101101010110
1,01000000110100110101111111000101
2,01000001001011000111110000010010
3,01000001100111111101101011100110
4,01000001010111100001011000000011
5,01000000111111000011101110111111
6,01000000111111000100110001000100
7,01000001000000010110111010011110
8,01000001000000011010001000000100
9,01000001000000010111010001000010
10,01000001000000010111010010100110
11,01000000111110100000011101000100
12,01000000100010100011000100001001
13,00111111111001111111000011101010
14,01000001001000000001100000000110
15,01000001001010100100111111101100
16,01000001110011100011011101101001
17,01000010000100010010011010001000
18,01000001101011110111001001111010
19,01000001010010010101100110100111
20,01000001010010100101010011101100
21,01000001010110111011110001001101
22,01000001010110111100101011110110
23,01000001010110111100001011110010
24,01000001010110111100001010101110
25,01000001010101010001100000111000
26,01000001000001001001101011000100
27,01000000011011111100000001110111
28,01000001001000001100010011110100
29,01000001000111101111010101111101
30,01000010001000000110101111001000
31,01000010001111100111001001001100
32,01000001101011000111011110100100
33,01000001001101000011111011010100
34,01000001001100111010111000101010
35,01000001011011011010010000000000
36,01000001100000110111111001101011
37,01000001100010110111011001111100
38,01000001011110010100111010011000
39,01000001010111111001101010111001
40,01000001000010010000110011100011
41,01000000011110001010001011100011
42,01000001000111110000000000111000
43,01000001011111001110101010000001
44,01000010010011000101001110101000
45,01000010010010000000011001010000
46,01000001100010001010000111001101
47,01000001000110100001100110011111
48,01000001001100001000011010101010
49,01000001101110010100000100101100
50,01000001111010001110111101010111
51,01000001111010111101000100101110
52,01000001101110101011010100000010
53,01000001010110100110001101001110
54,01000001000001010010111011100010
55,01000000011110001010001000100111
56,01000001000110100010101011100101
57,01000001101001100001000010100011
58,01000010010101101110101101000000
59,01000010001111101101000100110000
60,01000001001011010111000011111010
61,01000001000010100110001100011111
62,01000001101101010001001010001000
63,01000010000110010011111111100010
64,01000010000110001011000000110001
65,01000010000010100010110001000001
66,01000001111100111111001101010101
67,01000001100001010101110111010101
68,01000000111000001111010100001011
69,01000000011000101110010101100111
70,01000001000100100111111100010011
71,01000001110011100111010001111001
72,01000010010111111001000010000010
73,01000010001000001110010111011101
74,01000000110001011101111001010110
75,01000001100001000100110110010001
76,01000010001010000010100110000011
77,01000010010011001111010100000111
78,01000010000010011010001111101100
79,01000010000001101111001011000011
80,01000010000100111001100101001011
81,01000001100001110010110111110001
82,01000000101001110110100101110011
83,01000000001001101011111101011001
84,01000001000111111111000100010011
85,01000001111011100111011111100101
86,01000010010111010011110110010000
87,01000010000000011111101111101100
88,01000000110000001011011111101010
89,01000010000010011000101110000111
90,01000010010111001110000110100010
91,01000010001000001100001010000010
92,01000001101001011110001010111011
93,01000010000001111001111010010111
94,01000010001010100101110010110110
95,01000001101010000111101011000001
96,01000000100111110011010101011111
97,00111111100000010110101011110000
98,01000001001010110110010011000000
99,01000001111011101001111111010010
100,01000010010010011101100100111101
101,01000001111111101010010011001011
102,01000001010010110001101111011101
103,01000010001100111111111000001111
104,01000010010101010110111101110110
105,01000001101000101111100101110011
106,01000001001011000101010111111101
107,01000010000111100111101000000000
108,01000010001110001110010011000110
109,01000001101000111000000001101101
110,01000000100001011100101011110000
111,00111100100010100110010010100110
112,01000001010001001010101011010111
113,01000001110101001111101101111010
114,01000010001011111010110101010100
115,01000010000101100100001111111100
116,01000001101101010010101111010101
117,01000010001100110111100000011010
118,01000010001011010010100101111110
119,01000001011100100001000001011001
120,01000001100110000111101110110101
121,01000010010001100101000101010010
122,01000010010000010000100111011100
123,01000001011111111000011010010011
124,01000000100001011100101010010100
125,00111110101110011010001101001010
126,01000001001101111001110110101001
127,01000001110000001101000011101000
128,01000010000110100111111100011110
129,01000010000011111010010001101011
130,01000010000010100001000110001011
131,01000010010000100110010100000001
132,01000010000111110000101000100011
133,01000001110010000000110110111111
134,01000010000101100111100110000110
135,01000010010010001111110110001000
136,01000010000001110010101011111100
137,01000001000100010010110001100010
138,01000000100011011001100110101010
139,00111111101110010011001011011110
140,01000001001000001100010010011100
141,01000001101010001000110101010010
142,01000010000000101010001110101000
143,01000010000001110000110101111111
144,01000010000100100010110111111001
145,01000010001011100111010010010111
146,01000010001001010001001100110101
147,01000010000011000110011100100111
148,01000010001010100000101100000001
149,01000010000011010011110111001111
150,01000001011001101110111000111110
151,01000001000100011001110011010011
152,01000000101100100000001110111011
153,01000000010000100011011111100000
154,01000001001000001100010010010110
155,01000001100010011011001011000000
156,01000001101111011001001110100011
157,01000001111100101100000111000010
158,01000010000001100011111110100111
159,01000010000100010001000101111100
160,01000010000010001000100000010011
161,01000001111110010100100101001010
162,01000001110111110011011011010100
163,01000001100000000111100010011100
164,01000001001000000001110101001011
165,01000001001101111000011000110110
166,01000000111100001011000110110011
167,01000000011110001010000110000110
168,01000001000110111111111000010111
169,01000001010100001111110101111101
170,01000001100011101110111011001110
171,01000001101011111110111001010001
172,01000001101101100100010100101111
173,01000001110000000101010000100111
174,01000001101100101110001110111000
175,01000001100111000000101010100001
176,01000001010011011101011100110110
177,01000001001100110000000111111111
178,01000001010001110010110100001100
179,01000001010100101100110111000011
180,01000001000010000100000011101100
181,01000000011110001010000011101001
182,01000000111111000010000000101010
183,01000001001011111011101000101100
184,01000001001101111000000101011101
185,01000001001111100111100110011010
186,01000001010000010101100111111011
187,01000001010001001100000001111111
188,01000001001111111010011011010001
189,01000001001110110001001110010010
190,01000001001101111000000001110010
191,01000001001101111000000110000001
192,01000001001101111000000101110110
193,01000001001110111100100110000101
194,01000000111111110110010110111100
195,01000000011001101101100110101000
196,01000000101011110001000010011101
197,01000000111000011110010100101111
198,01000001001000110111101000001001
199,01000001010111000110101111110110
200,01000001011101010100111011101101
201,01000001001001100101000110010001
202,01000001000011101100011100100100
203,01000001000101001011101111000001
204,01000001001010100100101110101101
205,01000001001010100011101000000101
206,01000001001010100010101001100011
207,01000001001001111110111111011100
208,01000001000010110011011000000110
209,01000000111100010001001001101110
210,01000001100010110100010111100000
211,01000001101110000010100000100001
212,01000001110011010011101011100110
213,01000010000111000011000100111101
214,01000010000110111100000000110010
215,01000001111000110001111111100101
216,01000001110000101000000111101101
217,01000001110101111100111101010101
218,01000001111001010000111011000010
219,01000001111101000111000000111000
220,01000001111010100111111100111100
221,01000001110111010100111011000011
222,01000001101010011001000001010101
223,01000001100100001000001110100001
224,01000001110011110100111001100000
225,01000001111100110011100111100000
226,01000010001001111111110011011100
227,01000010011110100000000010100111
228,01000010010101000111111011111101
229,01000010000011000110000000101011
230,01000010000000101110111100000000
231,01000010001001100101100111101110
232,01000010001010010010001010110000
233,01000010001010010010001010010010
234,01000010001010010011000011001111
235,01000010000111001111011110100001
236,01000001110111111001001011101111
237,01000001101111111100011000010010
238,01000001110100100001010101001001
239,01000001111010101000000111100011
240,01000010010001000010011010101101
241,01000010100001100000101011011001
242,01000010010000010101000100100001
243,01000001111000111000010011011100
244,01000010000001000111111011000111
245,01000010001001001101010111110001
246,01000010001100000100001100000011
247,01000010001100001110001111011110
248,01000010001011110111111011110111
249,01000010001010010101100001101001
250,01000001111100011110010000100010
251,01000001101111011000111100100100
252,01000001110100010011010001101110
253,01000001111000101011001111110101
254,01000010010011101110011011010000
255,01000010100000111000101101010010
256,01000010000111111001010110010111
257,01000001101101100100100111011101
258,01000001111111100101100100011000
259,01000010001101110110011010010000
260,01000010010011000110001100110100
261,01000010010010001110001011011011
262,01000010010001000100111010011111
263,01000010001011111000111111001010
264,01000001111011011100010100100100
265,01000001110000000000100001111011
266,01000001110011101100011111011111
267,01000001111000101001101011111111
268,01000010010101010001111110010000
269,01000010100000111111100010101011
270,01000010000000101100101111100011
271,01000001101010010001000000111101
272,01000010000111110101010100010010
273,01000010011011010101110110001010
274,01000010011000001101101111010100
275,01000010001110000100111010000011
276,01000010010000101110000011011111
277,01000010001011001111100100011100
278,01000001110100100111000000001100
279,01000001101101001101000101111000
280,01000001110010101111010101111001
281,01000001111010111001101101100010
282,01000010010111000001011000101010
283,01000010011110101000001100011101
284,01000001110110010001110000101000
285,01000001110000110010011110100110
286,01000010010110010110110011000010
287,01000010011110101010001111110111
288,01000010001011101010010000101110
289,01000010000001001011001011000100
290,01000010010011101100110110001000
291,01000010001011001011010101010100
292,01000001101100010000010100000001
293,01000001100101011001111001010001
294,01000001110010111001101000010101
295,01000010000001001001100110001010
296,01000010010111011010011011000110
297,01000010011000010101001011010010
298,01000001110110011100000000110010
299,01000010000010011110010010011110
300,01000010011100101100001011101110
301,01000010010110010110100101001011
302,01000001110010010100001100010011
303,01000010000001001110000111101011
304,01000010011010101101011000011101
305,01000010001001110001010000110100
306,01000001101001111100111101011000
307,01000001100000101110000110001010
308,01000001110011100000110110100010
309,01000010000010100100011000001110
310,01000010010011011000000111111001
311,01000010010011001101101010011001
312,01000001111011010100001000010100
